,work_mode,employment_mode,role,prog_skills_in_role,code_for_job,IT_exp,prof_prog_exp,first_code,assigned_seniority,self_assessed_seniority,formal_edu,majors,formal_edu_importance,gender,age,monthly_salary,pro_languages,web_frameworks,other_tools,databases,platforms,fav_language,least_fav_language,fav_framework,least_fav_framework,tools,use_AI_tools,AI_replace_dev,layoffs_23_24,working_now,unemployed_duration,same_role,current_vs_prev_salary
0,remote,Empleador local (Paraguay),data_eng,"devops_dataops, scientific_researcher",Yes,18_25 years,13_17 years,16_17 years,Mid-senior,Junior,doctorate,systems_analysis,quite_important,male,40_44 years,15M_18M,"Python, C, SQL, R, Fox Pro",,"Pandas, TensorFlow, Keras, Torch/PyTorch","MySQL, PostgreSQL, SQLite, MongoDB","GNU/Linux, Microsoft Windows, Azure, Microsoft Azure",SQL,Genexus,,,"Microsoft Team, Microsoft Azure, Notion, Jira, GitHub",ChatGPT,no,no,,,,
1,onsite,Empleador local (Paraguay),"desktop_apps, qa_testing, data_analyst","sys_admin, devops_dataops, designer",Yes,3_5 years,3_5 years,<10 years,Junior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis, computer_engineering, electronic_engineering, graphic_design",critical,male,25_29 years,3.5M_5M,"JavaScript, PHP, Python, Java, C, C#, HTML/CSS, SQL, Bash/Shell/PowerShell, VBA","Angular, Angular.js, JQuery, Vue.js, Spring, Django, Laravel, Symfony, CodeIgniter","Node.js, .NET, NET Core, Pandas","MySQL, MariaDB, PostgreSQL, Microsoft SQL Server, SQLite, MongoDB, Firebase","GNU/Linux, Microsoft Windows, MacOS, Docker, Arduino",PHP,C++,Vue.js,CodeIgniter,"Google Suite (Docs, Meet, etc), Discord, GitHub, GitLab, Trello","ChatGPT, Bing AI",no,no,,,,
2,remote,Empleador local (Paraguay),backend_arch,"devops_dataops, scientific_researcher",Yes,10_12 years,6_9 years,14_15 years,Senior,Senior,high_school,programming,somewhat_important,male,25_29 years,18M_21M,"JavaScript, TypeScript, PHP, Python, Java, SQL","React.js, Express, Spring, Django, Flask, Laravel",Node.js,"MySQL, PostgreSQL, MongoDB, Redis","Microsoft Windows, Docker, AWS",TypeScript,Ruby,Laravel,Ruby on Rails,"Facebook Workplace, Jira, GitHub, Google Suite (Docs, Meet, etc), Slack, Confluence",ChatGPT,no,yes,yes,<3_months,no,lower
3,Hibrído,Empleador local (Paraguay),"desktop_apps, db_admin, proj_lead",sys_admin,Yes,18_25 years,18_25 years,16_17 years,Principal,Principal,master,systems_analysis,very_important,male,45_49 years,15M_18M,"Java, SQL, Bash/Shell/PowerShell, Oracle Forms",,,Oracle,"GNU/Linux, Microsoft Windows",Oracle form,,,,"Google Suite (Docs, Meet, etc), Microsoft Team",ChatGPT,no,no,,,,
4,remote,foreign_employer,"full_stack_dev, dev_ops",devops_dataops,Yes,26+ years,18_25 years,12_13 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,very_important,male,40_44 years,33M_40M,"JavaScript, TypeScript, Python, Java, HTML/CSS, Bash/Shell/PowerShell","React.js, Django","Node.js, Ansible","MySQL, PostgreSQL","GNU/Linux, Docker, AWS, Azure, Kubernetes",Java,Python,Spring,Django,"GitHub, Confluence, Slack, Google Suite (Docs, Meet, etc), Jira","Github Copilot, ChatGPT","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
5,remote,foreign_employer,backend_dev,,Yes,13_17 years,13_17 years,12_13 years,Senior,Senior,high_school,"programming, computer_engineering",somewhat_important,male,35_39 years,40M_50M,"Python, SQL",Django,"Pandas, TensorFlow","PostgreSQL, SQLite","GNU/Linux, Docker, AWS",Python,Java,Django,Spring,"Google Suite (Docs, Meet, etc), Slack, GitHub, GitLab",ChatGPT,no,yes,yes,3_5_months,yes,lower
6,Hibrído,Empleador local (Paraguay),"backend_dev, full_stack_dev, desktop_apps, db_admin, proj_lead, dev_ops","sys_admin, devops_dataops",Yes,18_25 years,18_25 years,14_15 years,Principal,Principal,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis, computer_engineering, mathematics",quite_important,male,50_54 years,50M+,"JavaScript, PHP, Python, SQL, Bash/Shell/PowerShell, Dart","JQuery, Vue.js, Laravel, Symfony","Node.js, Flutter","MySQL, MariaDB, PostgreSQL, SQLite","GNU/Linux, Microsoft Windows, MacOS, Docker, AWS, Android, WordPress, Google Cloud Platform",PHP,Bash/Shell/PowerShell,Laravel,Django,"Google Suite (Docs, Meet, etc), GitLab, Slack",,yes,no,,,,
7,remote,freelance,"backend_dev, frontend_dev, full_stack_dev, desktop_apps, db_admin, dev_ops, sre","sys_admin, devops_dataops, scientific_researcher",Yes,26+ years,26+ years,28_29 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","systems_analysis, computer_engineering",quite_important,male,35_39 years,7M_9M,"JavaScript, Python, Java, Go, HTML/CSS, SQL, Bash/Shell/PowerShell","React.js, JQuery, Spring",Node.js,"PostgreSQL, Microsoft SQL Server, Oracle, IBM DB2, Elasticsearch","GNU/Linux, Microsoft Windows, Docker",Go,C#,React.js,ASP.NET,"GitLab, Google Suite (Docs, Meet, etc), GitHub","Google Bard, Google Geminis","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
8,onsite,Empleador local (Paraguay),full_stack_dev,,Yes,10_12 years,10_12 years,14_15 years,Senior,Senior,high_school,programming,somewhat_important,male,45_49 years,9M_12M,"JavaScript, C#, HTML/CSS, SQL",ASP.NET Core,NET Core,Microsoft SQL Server,Microsoft Windows,C#,Java,ASP.NET Core,Django,GitHub,"Github Copilot, ChatGPT",no,no,,,,
9,onsite,Empleador local (Paraguay),full_stack_dev,educator,Yes,26+ years,26+ years,30+ years,Senior,Senior,high_school,"programming, systems_analysis",very_important,male,60+ years,7M_9M,"SQL, RPG, Abap",,,IBM DB2,GNU/Linux,RPG,C#,,,,ChatGPT,no,yes,no,,,
